2022-03-31,12:54:22,2022-03-31,12:56:12,W9MDB,,10.137019,FT8,-10,-10,,,,
2022-06-25,21:01:24,2022-06-25,21:01:24,K5TIA,,14.081946,FT4,1D,1D,,,,
2022-06-25,21:02:23,2022-06-25,21:03:16,W0OJY,,14.081946,FT4,1D,3A,,,,
2022-06-25,21:05:01,2022-06-25,21:05:30,K3F,,14.081946,FT4,1D,2A,,,,
2022-06-25,21:09:23,2022-06-25,21:09:52,NA4ST,,14.081946,FT4,1D,1D,,,,
2022-06-25,21:13:23,2022-06-25,21:13:52,KB7RUQ,,14.081946,FT4,1D,1D,,,,
2022-06-25,21:14:23,2022-06-25,21:14:52,WY7BUD,,14.081946,FT4,1D,1B,,,,
2022-06-25,21:20:31,2022-06-25,21:24:22,KC2NFJ,,14.082019,FT4,1D,1D,,,,
2022-06-25,21:24:53,2022-06-25,21:25:22,K3NO,,14.082019,FT4,1D,1D,,,,
2022-06-25,21:26:23,2022-06-25,21:27:24,K5TRP,,14.082019,FT4,1D,3A,,,,
2022-06-25,21:27:23,2022-06-25,21:27:52,K3ARS,,14.082019,FT4,1D,3A,,,,
2022-06-25,21:28:38,2022-06-25,21:29:07,W7RCH,,14.082019,FT4,1D,1F,,,,
2022-06-25,21:30:23,2022-06-25,21:31:07,K4HR,,14.082019,FT4,1D,1E,,,,
2022-06-25,21:31:08,2022-06-25,21:31:37,K4HR,,14.082019,FT4,1D,1E,,,,
2022-06-25,21:33:53,2022-06-25,21:34:52,N7RF,,14.082019,FT4,1D,1D,,,,
2022-06-25,21:35:23,2022-06-25,21:35:52,N0STL,,14.082019,FT4,1D,2B,,,,
2022-06-25,21:35:53,2022-06-25,21:36:22,K6SU,,14.082019,FT4,1D,4F,,,,
2022-06-25,21:44:08,2022-06-25,21:44:37,WA2HYO,,14.081922,FT4,1D,1E,,,,
2022-06-25,21:48:08,2022-06-25,21:48:37,K0JEB,,14.081922,FT4,1D,2D,,,,
2022-06-25,21:58:23,2022-06-25,21:58:52,WY7BUD,,14.081984,FT4,1D,1B,,,,
2022-06-25,21:59:38,2022-06-25,22:00:22,VE2CQ,,14.081984,FT4,1D,2A,,,,
2022-06-25,22:01:08,2022-06-25,22:01:37,K2FJ,,14.081984,FT4,1D,1D,,,,
2022-06-25,22:04:38,2022-06-25,22:05:07,W2MMD,,14.081984,FT4,1D,7A,,,,
2022-06-26,03:03:38,2022-06-26,03:04:22,W9AWE,,14.081694,FT4,1D,3F,,,,
2022-06-26,03:06:08,2022-06-26,03:06:37,KO6UW,,14.081694,FT4,1D,2A,,,,
2022-06-26,03:22:38,2022-06-26,03:23:52,W7IDM,,14.082116,FT4,1D,1E,,,,
2022-06-26,03:26:00,2022-06-26,03:27:07,KA6MJR,DM03,14.082116,FT4,1D,1D,,,,
2022-06-26,03:27:30,2022-06-26,03:27:45,K7DCJ,CN87,14.082116,FT4,1D,1E,,,,
2022-06-26,03:28:00,2022-06-26,03:31:22,WD6FIE,DM13,14.082116,FT4,1D,1D,,,,
2022-06-26,03:31:45,2022-06-26,03:32:00,W7OM,CN87,14.082116,FT4,1D,1D,,,,
2022-06-26,03:33:23,2022-06-26,03:33:45,AA2IL,DM12,14.082116,FT4,1D,2E,,,,
2022-06-26,03:34:15,2022-06-26,03:34:45,N6NFB,CM98,14.082116,FT4,1D,1E,,,,
2022-06-26,03:34:53,2022-06-26,03:35:30,VE7SUN,,14.082116,FT4,1D,6A,,,,
2022-06-26,03:35:45,2022-06-26,03:36:15,W7SKY,,14.082116,FT4,1D,3A,,,,
2022-06-26,03:36:30,2022-06-26,03:39:22,WA7PVE,CN87,14.082116,FT4,1D,1D,,,,
2022-06-26,03:43:38,2022-06-26,03:50:37,AH6EZ,CN88,14.082028,FT4,1D,1D,,,,
2022-06-26,03:53:53,2022-06-26,03:54:15,KE6SHL,DM06,14.082028,FT4,1D,1E,,,,
2022-06-26,03:55:23,2022-06-26,03:57:07,K6EI,CM87,14.082028,FT4,1D,9A,,,,
2022-06-26,04:00:53,2022-06-26,12:11:07,N2NQ,FM17,14.082016,FT4,1D,1B,,,,
2022-06-26,12:11:08,2022-06-26,12:11:37,K3KN,,14.082016,FT4,1D,1D,,,,
2022-06-26,12:11:38,2022-06-26,12:12:07,K4LRG,FM19,14.082016,FT4,1D,2A,,,,
2022-06-26,12:12:15,2022-06-26,12:13:37,W3GP,,14.082016,FT4,1D,1D,,,,
2022-06-26,12:13:45,2022-06-26,12:17:00,W4GSO,FM05,14.082016,FT4,1D,2A,,,,
2022-06-26,12:17:08,2022-06-26,12:17:30,W2S,,14.082016,FT4,1D,4F,,,,
2022-06-26,12:17:38,2022-06-26,12:18:30,K4LM,EL96,14.082016,FT4,1D,4A,,,,
2022-06-26,12:18:38,2022-06-26,12:19:15,W4EZ,,14.082016,FT4,1D,6D,,,,
2022-06-26,12:26:15,2022-06-26,12:26:45,VE3BOE,,14.082016,FT4,1D,1E,,,,
2022-06-26,12:26:53,2022-06-26,12:28:00,K3NEM,,14.082016,FT4,1D,3A,,,,
2022-06-26,12:29:00,2022-06-26,12:36:07,KB4VL,EM75,14.082016,FT4,1D,1D,,,,
2022-06-26,12:36:15,2022-06-26,12:52:37,WB2BIN,FN23,14.082016,FT4,1D,1D,,,,
2022-06-26,12:53:00,2022-06-26,12:53:37,N4N,EM74,14.082016,FT4,1D,3A,,,,
2022-06-26,12:59:15,2022-06-26,13:00:07,W4RKC,FM09,14.080235,FT4,1D,3A,,,,
2022-06-26,13:00:53,2022-06-26,14:28:45,KB5WCK,EM50,14.080463,FT4,1D,1D,,,,
2022-06-26,14:39:23,2022-06-26,14:39:52,KS4OT,EM83,14.080463,FT4,1D,1E,,,,
2022-06-26,14:54:08,2022-06-26,14:54:30,K9OM,EN65,14.080463,FT4,1D,1E,,,,
2022-06-26,14:54:45,2022-06-26,14:55:15,W7CT,DN41,14.080463,FT4,1D,1D,,,,
2022-06-26,14:55:23,2022-06-26,14:56:00,W2RDX,,14.080463,FT4,1D,2A,,,,
2022-06-26,14:56:08,2022-06-26,14:56:45,W3AO,FM19,14.080463,FT4,1D,11A,,,,
2022-06-26,14:56:53,2022-06-26,14:58:45,W5AQY,EL29,14.080459,FT4,1D,1E,,,,
2022-06-26,14:58:53,2022-06-26,14:59:45,W4IAX,EM50,14.080459,FT4,1D,3A,,,,
2022-06-26,14:59:53,2022-06-26,15:00:15,WT0DX,,14.080459,FT4,1D,1D,,,,
2022-06-26,15:00:23,2022-06-26,15:01:00,K1WV,EM98,14.080459,FT4,1D,1E,,,,
2022-06-26,15:15:08,2022-06-26,15:15:37,W4SBM,EM70,14.080232,FT4,1D,1D,,,,
2022-06-26,15:15:38,2022-06-26,15:29:30,K0KKV,EN10,14.080232,FT4,1D,3A,,,,
2022-06-26,15:41:45,2022-06-26,15:42:16,N3JG,,14.080232,FT4,1D,1D,,,,
2022-06-26,15:43:00,2022-06-26,15:43:30,K7DTB,DM41,14.080232,FT4,1D,1D,,,,
2022-06-26,15:44:00,2022-06-26,15:44:45,WI4R,,14.080232,FT4,1D,1D,,,,
2022-06-26,15:45:09,2022-06-26,15:45:26,WI4R,,14.080232,FT4,,1D,100,,,
2022-06-26,15:46:00,2022-06-26,15:47:30,W3SO,FN00,14.080208,FT4,1D,5D,100,,,
2022-06-26,15:47:38,2022-06-26,15:49:30,N3WD,FM19,14.080208,FT4,1D,1B,100,,,
2022-06-26,15:49:38,2022-06-26,15:50:00,W5TRL,EM10,14.080208,FT4,1D,2E,100,,,
2022-06-26,15:50:00,2022-06-26,15:51:00,N4N,,14.080208,FT4,1D,3A,100,,,
2022-06-26,16:27:08,2022-06-26,16:27:30,N5ZR,EL09,14.080372,FT4,1D,1A,100,,,
2022-06-26,16:27:30,2022-06-26,16:28:15,W7DK,CN87,14.080372,FT4,1D,5A,100,,,
2022-06-26,16:30:45,2022-06-26,16:32:15,K4EGA,EM83,14.080238,FT4,1D,1E,100,,,
2022-06-26,17:36:23,2022-06-26,17:37:07,N7WAH,CN86,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:37:38,2022-06-26,17:38:07,N5TT,EM10,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:38:08,2022-06-26,17:38:37,N4KHI,EL99,14.080223,FT4,1D,1E,100,,,
2022-06-26,17:39:01,2022-06-26,17:39:52,N5TT,,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:40:15,2022-06-26,17:44:07,NU2DE,FN22,14.080223,FT4,1D,2B,100,,,
2022-06-26,17:44:45,2022-06-26,17:45:22,N4GXX,EM60,14.080223,FT4,1D,1D,100,,,
2022-06-26,17:54:08,2022-06-26,17:54:52,K8SIX,EN82,14.080223,FT4,1D,1D,100,,,
2022-06-26,17:54:53,2022-06-26,17:57:07,N4IV,FM06,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:58:53,2022-06-26,18:18:52,AE5FM,EM13,14.080205,FT4,1D,1D,100,,,
2022-06-26,18:20:53,2022-06-26,18:23:37,K4YDE,EM90,14.080205,FT4,1D,1D,100,,,
2022-09-19,03:30:01,2022-09-19,03:30:01,ZM1A,RF72,14.078700,FT4,,,100,,,
2022-09-19,22:34:30,2022-09-19,22:36:30,W9MDB,,50.211720,Q65,-04,-04,100,,,
2022-09-21,16:45:30,2022-09-21,16:45:30,W9MDB,EM49,14.090720,FT8,+16,+00,100,,,
2022-12-04,19:15:23,2022-12-04,19:17:22,N4DLT,EM95,14.080408,FT4,559,569,100,,,
